巴巴多斯,バルバドス
巴哈馬,バハマ
巴基斯坦,パキスタン
巴林,バーレーン
諾威・那威・能留英,ノルウェー
泥婆羅・涅巴爾,ネパール
尼日爾,ニジェール
阿爾巴尼亜,アルバニア
土弥尼加国,ドミニカ国
独逸,ドイツ
丁抹,デンマーク
津張、圖瓦盧,ツバル
捷克,チェコ
斯洛伐克,スロバキア
瑞西,スイス
阿爾及、阿留世里屋,アルジェリア
新嘉坡,シンガポール
叙利亜,シリア
賛比亜,ザンビア
薩摩亜,サモア
亜剌比亜首長国連邦,アラブ首長国連邦
象牙海岸,コートジボワール
克羅地亜、呉呂茶,クロアチア
格林納達,グレナダ
科威都,クウェート
基里巴斯,キリバス
希臘,ギリシャ
塞浦路斯,キプロス
華太瑠,カタール
圭亜那,ガイアナ
愛沙尼亜、愛沙尼亞,エストニア
宇柳具、宇柳貝,ウルグアイ
烏克蘭、宇克蘭,ウクライナ
黎巴嫩,レバノン
列支敦士登,リヒテンシュタイン
拉脱維亜,ラトビア
摩納哥,モナコ
莫三鼻給,モザンビーク
密克羅尼西亜連邦,ミクロネシア連邦
伊色剌、以色列,イスラエル
馬達加斯加,マダガスカル
馬其頓,マケドニア
馬歇爾諸島,マーシャル諸島
博茨瓦納,ボツワナ
波斯尼亜・黒塞哥維那,ボスニア・ヘルツェゴビナ
文莱,ブルネイ
不丹,ブータン
芬蘭、芬蘭土,フィンランド
比律賓,フィリピン
洪牙利,ハンガリー
